STATE,ST_CASE,VE_TOTAL,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,MILEPT,LATITUDE,LONGITUD
North Carolina,370587,1,1,77,0,7,4,2015,99999,36.10421944,-78.68884444
North Carolina,370588,2,4,167,60,8,4,2015,99999,35.36133611,-80.20452222
North Carolina,370589,2,5,3,0,16,7,2015,99999,35.87253056,-81.28382222
North Carolina,370590,2,3,15,0,7,7,2015,99999,36.22875278,-76.939275
North Carolina,370591,1,1,17,0,13,7,2015,99999,34.68088056,-78.43192778
North Carolina,370592,2,4,21,0,6,7,2015,99999,35.54428889,-82.68528056
North Carolina,370593,2,4,21,0,7,7,2015,99999,35.60486667,-82.47469722
North Carolina,370594,1,1,21,0,26,7,2015,99999,35.72383889,-82.59954722
North Carolina,370595,1,1,25,0,20,7,2015,99999,35.26856944,-80.64648333
North Carolina,370596,1,1,35,0,8,7,2015,99999,35.74493056,-81.34798333
North Carolina,370597,1,1,35,3300,8,7,2015,99999,35.65791389,-81.21880833
North Carolina,370598,2,3,45,0,20,7,2015,99999,35.27114444,-81.43426389
North Carolina,370599,2,3,47,0,9,7,2015,99999,34.25558611,-78.748675
North Carolina,370600,2,4,57,0,10,7,2015,99999,35.73378889,-80.23346667
North Carolina,370601,1,1,57,0,12,7,2015,99999,35.84063056,-80.15828333
North Carolina,370602,1,1,57,0,12,7,2015,99999,35.95946111,-80.19290556
North Carolina,370603,2,4,57,2620,16,7,2015,99999,35.83545556,-80.25338611
North Carolina,370604,1,1,63,1360,4,7,2015,0,35.99442222,-78.87999444
North Carolina,370605,1,1,67,5120,12,7,2015,0,36.17236389,-80.25648333
North Carolina,370606,2,4,67,5120,12,7,2015,0,36.06285278,-80.23229444
North Carolina,370607,1,2,67,5120,16,7,2015,0,36.11224444,-80.19055556
North Carolina,370608,2,2,71,0,4,7,2015,0,35.29798056,-81.18804722
North Carolina,370609,1,1,73,0,1,7,2015,0,36.54222778,-76.69231111
North Carolina,370610,1,2,73,0,5,7,2015,0,36.46883333,-76.84652778
North Carolina,370611,1,2,79,0,4,7,2015,0,35.61450278,-77.65941944
North Carolina,370612,1,1,81,0,4,7,2015,0,36.06905556,-79.79500556
North Carolina,370613,1,1,81,1940,13,7,2015,0,36.14683611,-79.74209444
North Carolina,370614,1,1,81,2170,18,7,2015,0,35.93656389,-79.94664167
North Carolina,370615,2,2,81,1940,23,7,2015,0,35.97816944,-79.90726667
North Carolina,370616,1,1,83,0,3,7,2015,0,36.27904444,-77.85793611
North Carolina,370617,1,1,85,0,2,7,2015,0,35.4175,-78.80397778
North Carolina,370618,1,5,85,0,7,7,2015,0,35.28945833,-79.04034444
North Carolina,370619,1,1,85,0,14,7,2015,0,35.32600833,-79.0487
North Carolina,370620,2,2,85,0,15,7,2015,0,35.47295278,-78.66995278
North Carolina,370622,2,4,87,0,14,7,2015,0,35.53284444,-82.9086
North Carolina,370623,2,2,89,2130,1,7,2015,0,35.34419167,-82.44355278
North Carolina,370624,1,1,93,0,4,7,2015,0,35.02091389,-79.11447778
North Carolina,370625,2,4,97,3110,21,7,2015,0,35.58769444,-80.88151944
North Carolina,370626,1,2,101,0,9,7,2015,0,35.56533889,-78.53421667
North Carolina,370627,1,1,101,0,12,7,2015,0,35.747475,-78.23871111
North Carolina,370628,1,1,103,0,12,7,2015,0,35.04393056,-77.33716111
North Carolina,370629,1,2,105,0,25,7,2015,0,35.47983333,-79.19920833
North Carolina,370630,2,2,107,0,10,7,2015,0,35.25863611,-77.59215833
North Carolina,370631,1,2,109,0,18,7,2015,0,35.53959167,-81.20134167
